标题,租金,房型,租赁方式,装修,区域1,区域2,面积,朝向,住宅类型,小区名,地址,年代,容积率,绿化率,链接
紧邻地铁 难得一见精装 拎包入住 上下各一层  复式房,3600,2室1厅1卫,整租,中等装修,杨浦区,杨浦公园,35平米,南,普通住宅,延吉一村,延吉一村                                                    ,1956年,1.9,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084822597
九歌茗园 精装修一房 景观楼层 随时看房 拎包入住,4500,1室1厅1卫,整租,精装修,闵行区,漕宝,64平米,南,普通住宅,九歌茗园(静安新城六区),漕宝路1467弄6区18-35号                                                    ,2003年,1.6,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082918263
虹桥高尔夫别墅  老外街旁边高端别墅 初次出租豪装带地热,35000,5室2厅4卫,整租,豪华装修,闵行区,金虹桥,274平米,南北,别墅,虹桥高尔夫别墅,虹许路555弄                                                    ,2003年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082614537
华高东源名都 地铁12号线 独立一室户 精装全配 看房随时入,1500,1室1厅1卫,整租,精装修,浦东新区,高行,22平米,南,普通住宅,东源名都(东区),双桥路1139弄                                                    ,2012年,2.1,47%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086011418
花木绿城锦绣兰亭， 芙蓉帐暖度春宵。近地铁邻公园。,7000,2室2厅2卫,整租,精装修,浦东新区,世纪公园,100平米,南北,普通住宅,花木绿城锦绣兰庭,浦建路1399弄                                                    ,2015年,2.4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085911680
8号线地铁口 出行方便 市区直达 精装修2室 拎包入住,2650,2室1厅1卫,整租,精装修,浦东新区,航头,75平米,南,普通住宅,鹤沙航城汇善嘉苑,航昌路199弄                                                    ,2013年,暂无,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084806534
石泉路精装一房近镇坪路 南北通透采光充足 有钥匙随时看房入住,3400,1室1厅1卫,整租,精装修,普陀区,光新,35平米,南,普通住宅,石泉五村,石泉五村                                                    ,1983年,1.2,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084537638
爱博七村，精装全配一房，适合陪读家长，有很好的生活学习！,3100,1室1厅1卫,整租,精装修,闵行区,华漕,58平米,南北,普通住宅,爱博七村,博恒路289弄1-47号                                                    ,2013年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083913338
日月光旁精装一房一厅、紧邻地铁1、3、12号线、拎包入住,4200,1室1厅1卫,整租,精装修,徐汇区,龙华,57平米,南,普通住宅,凯翔小区,龙漕路135弄                                                    ,1990年,暂无,33%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083860226
百年外滩尽享奢华高区全景观俯瞰黄浦江全地暖豪华装修,16000,3室2厅3卫,整租,豪华装修,黄浦区,豫园,180平米,南北,普通住宅,金外滩花园,中山南路200弄                                                    ,2006年,3,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083531558
水电新村精装一房 户型好 性价比高,2700,1室1厅1卫,整租,精装修,杨浦区,新江湾城,41平米,南,普通住宅,水电新村,闸殷路60弄28支弄                                                    ,1994年,1.6,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080869616
简单装修 配置齐全 干净清爽 价格可谈,1300,1室1厅1卫,整租,精装修,普陀区,桃浦,57平米,南,普通住宅,春光家园,武威路1019弄                                                    ,2012年,1.4,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085869811
厅南北通风，地铁徐家汇站，精装3房，有车位，*实房，随时看,15000,3室2厅2卫,整租,豪华装修,徐汇区,徐家汇,150平米,南北,公寓,莱诗邸,南丹东路223弄1-9号                                                    ,2005年,2.6,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083132389
世纪大道2469号线五分（新装两房出租）通风好，采光好,5900,2室1厅1卫,整租,精装修,上海周边,嘉兴,65平米,南,普通住宅,竹园新村,塘南东路64号                                                    ,1999年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1079960303
地铁4/9线，新装一室一厅，实拍图，居家白领喜欢，随时看房,2500,1室1厅1卫,整租,精装修,黄浦区,打浦桥,45平米,南,公寓,斜土新村,打浦路284弄18号                                                    ,1989年,1.9,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085594314
东方巴黎 2室2厅1卫 实拍 有钥匙,15000,2室2厅1卫,整租,简单装修,徐汇区,衡山路,86平米,西,普通住宅,东方巴黎霞飞苑,南昌路555号                                                    ,2000年,5.68,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085488186
临近镇坪路铁路口（3号线，4号线，7号线）交通便利 设施完备,2400,1室1卫,整租,简单装修,普陀区,光新,26平米,南,公寓,石泉一村,石泉一村                                                    ,1992年,1.8,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082729992
"近公交 钥匙房 精装全配 电梯两房出租,随时看房 随时住！",4100,2室2厅2卫,整租,豪华装修,闵行区,莘庄,98平米,南北,普通住宅,上海康城,莘松路958弄                                                    ,2002年,2.1,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085036247
牡丹新村 精装修两房 拎包可入住 近地铁九号线 看房随时,4200,2室1厅1卫,整租,精装修,闵行区,七宝,80平米,南北,普通住宅,牡丹新村,七莘路2999弄                                                    ,1996年,2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084602879
西湖新村，两房朝南 精装修，全配，实房实图，看房方便！,2000,2室1厅1卫,整租,中等装修,青浦区,朱家角,80平米,南,普通住宅,西湖新村,漕平路                                                    ,1994年,1.6,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084399695
艺康苑双南户型客厅朝北，厅看房方便，装修新式，中间楼层,3800,2室2厅1卫,整租,精装修,静安区,彭浦,68平米,南,普通住宅,艺康苑,保德路1238弄                                                    ,2001年,1.6,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083634809
10/11号线精装2房   东南向   看房有钥匙,7000,2室1厅1卫,整租,精装修,长宁区,新华路,63平米,南,公寓,华山花苑,淮海中路2006弄6-16号                                                    ,1995年,3,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082274483
五角场地铁10号线边上精装小两房空关随时就住！,4200,2室1厅1卫,整租,精装修,杨浦区,五角场,50平米,南,普通住宅,铁路新村(杨浦),国定路277弄                                                    ,1987年,1.9,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080352539
2016年婚房装修 拎包入住 交通便利 近莘庄地铁站 整租,3800,2室2厅1卫,整租,精装修,松江区,莘闵别墅区,83平米,南北,普通住宅,象屿品城,雪家桥路1弄                                                    ,2015年,1.7,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084280216
新房源 精装复式一居室 首租实拍 首月6折 拎包入住,3300,1室1厅1卫,整租,精装修,闵行区,金虹桥,30平米,南,公寓,君怡公寓,吴中路889号                                                    ,1999年,2,37%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085965849
地铁口新出大一室户 毕业季情侣单身打拼房 拎包入住,1700,1室1厅1卫,整租,精装修,浦东新区,高行,20平米,南,普通住宅,浦江东旭公寓(东区),东靖路669弄1-109号                                                    ,1999年,2,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085697439
白领打工族快来看啊！便宜房家具电器齐全宜1室3500元,3500,1室1厅1卫,整租,精装修,浦东新区,金桥,50平米,南北,普通住宅,东陆新村五街坊,利津路1111弄                                                    ,2000年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085676919
紧靠13、7号线、全新欧式装修，楼层采光好,5500,2室1厅1卫,整租,豪华装修,普陀区,长寿,102平米,南,普通住宅,音乐广场,江宁路1220弄                                                    ,2004年,3.97,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085189467
精装月付 无中介 全装全配 独立卫浴 免费双周保洁 出行方便,2650,3室1厅1卫,合租,精装修,闵行区,金虹桥,28平米,南,普通住宅,上虹新村1-6街坊,莲花路2151弄                                                    ,1996年,1.4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084416361
近8号线！品质小区，精装修一房 美女房东急租 要求居家客户,3200,1室1厅1卫,整租,精装修,浦东新区,杨思,50平米,南,普通住宅,杨思水境园,振兴东路12弄                                                    ,2002年,1.3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083391045
7号线地铁 好日子大家园A区单间 假房打脸七百至一千八百元,1000,3室2厅2卫,合租,精装修,宝山区,顾村,18平米,东南,普通住宅,好日子大家园A区,菊太路777弄                                                    ,2005年,1.2,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081816063
悠和家园 豪华装修大三房 房东出国急租 拎包入住 随时看房,8000,3室2厅2卫,整租,豪华装修,静安区,大宁,128平米,南北,普通住宅,悠和家园,洛川中路777弄                                                    ,2006年,2.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081251151
同景苑精装独厨独卫，家电全配，压一付一，燃气做饭可办居住证。,1800,1室1厅1卫,整租,精装修,浦东新区,唐镇,30平米,南,普通住宅,阳光花城同景苑,云雅路400弄                                                    ,2005年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1078708777
望族苑，精装大三房，产权车位，近地铁，随时看房，押一付一,5500,3室2厅2卫,整租,精装修,闵行区,梅陇,126平米,南,普通住宅,望族苑,上中西路1285弄                                                    ,2001年,1.8,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085833236
"4号线浦东大道地铁站三房,精装全配,随时入住！",7200,3室2厅2卫,整租,精装修,浦东新区,陆家嘴,160平米,南,普通住宅,荣城花苑,荣成路9弄                                                    ,1996年,2.3,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084917954
新出精装一房，家具家电全配，拎包入住，近地铁,5700,1室2厅1卫,整租,豪华装修,普陀区,中远两湾城,75平米,南,公寓,中远两湾城(四期),远景路97弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084905240
大户型，精装修，拎包入住。,8000,4室2厅2卫,整租,精装修,青浦区,徐泾,155平米,南北,公寓,上海捷克住宅小区(公寓),联民路88弄                                                    ,2004年,0.8,41%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084322022
真实照片，装修保养好，家具家电齐全，居住舒适，看房方便,17000,3室2厅2卫,整租,精装修,浦东新区,联洋,153平米,南北,公寓,仁恒河滨城(一期),丁香路1599弄                                                    ,2004年,2.3,43%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084236912
婚房装修你能看中吗？房东出国，来了价格什么都号商量，非诚勿扰,5500,3室2厅2卫,整租,精装修,闵行区,航华,108平米,南,普通住宅,丹桂南苑,航北路229弄                                                    ,1999年,1.3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083062982
"龙漕路地铁口,精装修两房一厅,宜家风格装修,可以长签3年便宜",5600,2室1厅1卫,整租,精装修,徐汇区,徐家汇,5600平米,南,普通住宅,红旗教师公寓,斜土路2200弄28-29号                                                    ,2003年,3.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085945831
